fare_amount,pickup_longitude,pickup_latitude,passenger_count,hour,day,month,season,cluster
6.5,-74.01512199999999,40.715795,5.0,9,1,6,summer,6
4.9,-73.97646999999999,40.735987,1.0,20,1,9,autumn,6
29.0,-73.8709,40.7738,1.0,13,1,10,autumn,3
6.5,-73.985129,40.778954,1.0,19,4,1,winter,6
8.2,-73.98349,40.765833,1.0,20,0,1,winter,6
11.0,-73.988536,40.753911,3.0,20,3,5,spring,6
4.5,-73.992937,40.75778,1.0,21,2,1,winter,6
4.5,-73.992667,40.753087,5.0,7,5,6,summer,6
5.0,-73.97274,40.798322,1.0,20,0,10,autumn,6
7.3,-73.989391,40.752278,1.0,8,1,6,summer,6
7.5,-74.00408172607422,40.74240112304688,1.0,1,2,2,winter,6
7.7,-73.97444499999999,40.764015,2.0,0,5,11,autumn,6
8.0,-73.99575899999999,40.759149,3.0,22,3,5,spring,6
10.5,-73.981387,40.758807,1.0,20,2,9,autumn,6
22.0,-73.983363,40.744282,1.0,18,2,1,winter,6
11.5,-73.96995544433594,40.78917694091797,5.0,19,2,2,winter,6
4.5,-73.98613,40.763425,5.0,20,4,3,spring,6
8.1,-73.96494,40.775277,1.0,20,3,5,spring,6
18.0,-73.96534399999999,40.806353,1.0,23,5,11,autumn,6
8.1,-73.982563,40.727365,1.0,1,4,9,autumn,6
3.3,-74.001113,40.741735,3.0,20,5,10,autumn,6
8.1,-73.981785,40.763397,1.0,2,5,4,spring,6
6.5,-73.972497,40.75278,3.0,12,4,9,autumn,6
14.5,-74.005477,40.738575,5.0,1,2,5,spring,6
24.0,-73.98155799999999,40.783752,1.0,10,1,5,spring,6
10.5,-73.96593,40.805358,1.0,20,1,8,summer,6
14.1,-74.00019,40.718336,1.0,0,6,4,spring,6
6.1,-73.965017,40.764308,1.0,7,3,3,spring,6
7.3,-73.98478399999999,40.736512,1.0,10,4,4,spring,6
23.0,-73.863088,40.769212,1.0,21,2,11,autumn,4
5.3,-74.00921,40.706383,1.0,21,0,11,autumn,6
45.0,-73.971663,40.757812,1.0,7,5,11,autumn,6
20.1,-73.990166,40.756562,2.0,4,2,6,summer,6
5.7,-74.001563,40.739345,1.0,1,4,11,autumn,6
3.7,-73.97430200000001,40.761193,5.0,23,1,3,spring,6
5.5,-73.985698,40.748747,1.0,7,1,9,autumn,6
6.1,-73.978788,40.755519,1.0,19,5,5,spring,6
4.1,-73.959427,40.774613,5.0,16,2,5,spring,6
8.0,-73.99208068847656,40.75920867919922,1.0,17,4,5,spring,6
9.5,-73.995559,40.695197,1.0,18,5,9,autumn,2
4.1,-73.959091,40.799481,1.0,19,0,5,spring,6
15.7,-73.9773,40.7519,1.0,22,1,6,summer,6
5.3,-73.93431700000001,40.797407,1.0,5,6,5,spring,6
8.9,-74.00739200000001,40.733257,4.0,21,5,3,spring,6
29.5,-73.99119,40.750195,3.0,14,1,1,winter,6
18.0,-73.99681854248048,40.73598861694336,1.0,21,1,4,spring,6
23.7,-73.953172,40.787591,1.0,9,2,8,summer,6
49.8,-73.992122,40.748577,1.0,17,6,7,summer,6
3.7,-73.983436,40.746818,1.0,9,6,3,spring,6
7.7,-73.97313,40.764152,1.0,21,4,12,winter,6
7.3,-73.993193,40.749672,5.0,8,2,2,winter,6
4.1,-73.962199,40.776363,1.0,22,1,10,autumn,6
9.7,-73.98963,40.735626,1.0,21,1,11,autumn,6
7.3,-73.968164,40.800219,1.0,21,5,3,spring,6
4.0,-73.93495300000001,40.800987,5.0,18,1,10,autumn,6
7.7,-73.97550600000001,40.75789,1.0,16,1,1,winter,6
8.0,-73.975213,40.757695,2.0,6,6,11,autumn,6
6.5,-73.999166,40.739403,1.0,14,6,8,summer,6
11.5,-73.9706802368164,40.75807189941406,1.0,21,5,1,winter,6
7.3,-73.961613,40.77709,1.0,14,5,3,spring,6
7.3,-73.992758,40.737167,5.0,6,2,3,spring,6
14.1,-73.982623,40.772747,1.0,15,1,6,summer,6
4.5,-73.977202,40.790112,1.0,21,6,6,summer,6
5.5,-73.96889499999999,40.764276,2.0,19,5,10,autumn,6
8.9,-73.98778,40.738603000000005,1.0,21,3,8,summer,6
15.0,-73.96563,40.761996,2.0,22,1,3,spring,6
4.1,-73.98353399999999,40.752177,1.0,12,1,4,spring,6
10.5,-73.98123931884766,40.75287628173828,6.0,15,1,3,spring,6
8.5,-73.968162,40.79208,1.0,11,2,9,autumn,6
8.1,-73.96973,40.756707,1.0,8,3,9,autumn,6
9.7,-73.98392199999999,40.755333,1.0,20,5,8,summer,6
4.9,-73.978252,40.754508,3.0,15,2,9,autumn,6
8.0,-73.970091,40.758928,1.0,9,2,12,winter,6
10.5,-73.969433,40.757445,1.0,18,3,7,summer,6
12.0,-73.959571,40.76283,1.0,11,3,9,autumn,6
5.0,-73.988312,40.724045,1.0,1,5,9,autumn,6
7.7,-73.983361,40.761332,1.0,14,6,2,winter,6
24.0,-73.989998,40.76197,1.0,17,0,6,summer,6
4.9,-73.98602199999999,40.76803,1.0,6,0,5,spring,6
13.0,-73.993753,40.762232,1.0,20,6,11,autumn,6
9.3,-73.983086,40.735028,1.0,8,1,8,summer,6
6.5,-73.995037,40.739985,2.0,19,4,5,spring,6
5.0,-73.99124145507811,40.7497444152832,1.0,7,2,4,spring,6
17.0,-73.952872,40.791805,1.0,0,4,9,autumn,6
4.9,-73.982557,40.771522,2.0,22,1,3,spring,6
4.9,-73.98611,40.74594,1.0,18,1,3,spring,6
9.5,-73.98890686035155,40.69222259521485,1.0,11,1,2,winter,2
14.0,-73.993047,40.742667,1.0,14,6,11,autumn,6
16.9,-74.000457,40.742486,1.0,19,6,2,winter,6
6.1,-73.983981,40.780489,1.0,12,3,3,spring,6
6.5,-73.98469300000001,40.759112,2.0,10,6,4,spring,6
19.5,-73.992405,40.724391,1.0,20,2,3,spring,6
7.3,-73.988247,40.724833,1.0,20,4,1,winter,6
9.0,-74.003345,40.726957,5.0,19,2,3,spring,6
9.3,-73.993808,40.751740000000005,1.0,17,4,6,summer,6
11.7,-73.98865,40.76403,1.0,9,1,3,spring,6
7.3,-74.00075600000001,40.725835,2.0,12,0,9,autumn,6
5.5,-74.016038,40.715462,5.0,8,2,11,autumn,6
15.0,-74.006209,40.714462,1.0,23,0,3,spring,6
6.5,-74.004083,40.742094,1.0,23,3,3,spring,6
15.0,-73.97685,40.764368,1.0,23,0,12,winter,6
6.5,-73.970823,40.798273,1.0,13,3,4,spring,6
5.0,-73.97303000000001,40.752042,5.0,0,1,5,spring,6
13.5,-73.97331700000001,40.750867,1.0,16,1,6,summer,6
6.5,-73.983035,40.744606,1.0,9,1,8,summer,6
5.7,-73.970607,40.763045,1.0,17,2,2,winter,6
34.25,-73.862659,40.769994,2.0,10,1,3,spring,4
4.5,-73.98495799999999,40.670825,1.0,19,2,7,summer,2
7.7,-73.975358,40.777341,1.0,11,3,8,summer,6
39.33,-73.98331,40.76596,2.0,5,0,12,winter,6
5.7,-73.971488,40.754987,1.0,12,3,8,summer,6
7.7,-73.981137,40.740717,1.0,6,5,1,winter,6
10.0,-73.98679,40.761328000000006,1.0,20,1,12,winter,6
6.9,-73.992077,40.729163,1.0,22,4,4,spring,6
45.0,-73.959275,40.759352,1.0,17,6,10,autumn,6
7.3,-73.99079300000001,40.750895,5.0,7,1,6,summer,6
18.5,-73.971212,40.76246,1.0,3,5,9,autumn,6
8.9,-73.988975,40.748182,2.0,17,4,3,spring,6
19.3,-73.995176,40.750516,1.0,0,4,5,spring,6
6.5,-73.987447,40.733067,1.0,17,0,8,summer,6
6.5,-73.98507690429686,40.73244857788085,2.0,10,2,4,spring,6
10.5,-73.982832,40.770589,1.0,7,2,12,winter,6
16.0,-73.962799,40.711994,1.0,21,5,8,summer,5
15.5,-73.973638,40.757932,1.0,12,0,3,spring,6
11.7,-73.996488,40.715461,4.0,5,6,9,autumn,6
11.7,-73.86279,40.768853,2.0,17,2,9,autumn,4
6.1,-73.96678,40.757327,1.0,16,6,11,autumn,6
15.0,-73.977737,40.786840000000005,1.0,19,6,1,winter,6
12.5,-73.99691999999999,40.72064,1.0,22,5,10,autumn,6
3.5,-73.97251999999999,40.753437,1.0,6,3,3,spring,6
6.1,-73.98786199999999,40.738565,1.0,11,5,2,winter,6
4.5,-73.965141,40.791169,1.0,11,6,2,winter,6
35.7,-73.786907,40.640095,2.0,13,6,2,winter,0
8.5,-73.974902,40.763257,5.0,19,5,4,spring,6
8.5,-73.948065,40.71932,1.0,17,0,8,summer,5
4.0,-73.979315,40.776897,1.0,23,4,4,spring,6
3.3,-73.996055,40.725228,1.0,2,3,2,winter,6
15.7,-73.977711,40.751507,1.0,17,3,10,autumn,6
4.5,-73.95896,40.759771,1.0,13,1,12,winter,6
29.3,-73.93961,40.841325,1.0,20,6,2,winter,6
5.7,-73.98522,40.723707,2.0,22,2,12,winter,6
10.5,-73.971685,40.762707,1.0,19,4,1,winter,6
10.0,-73.98944854736328,40.73759078979492,1.0,14,1,5,spring,6
9.3,-73.994087,40.751154,4.0,8,3,7,summer,6
10.5,-73.973467,40.757442,2.0,17,6,7,summer,6
10.9,-74.00716899999999,40.713268,1.0,16,5,7,summer,6
5.3,-73.968733,40.786187,1.0,12,6,12,winter,6
11.0,-73.990382,40.756108000000005,3.0,20,3,3,spring,6
8.5,-73.966798,40.804314,1.0,19,4,8,summer,6
7.7,-74.00555899999999,40.745773,2.0,14,3,4,spring,6
5.0,-73.97785,40.726059,1.0,0,1,1,winter,6
6.9,-73.955365,40.76489,1.0,8,1,10,autumn,6
8.5,-73.985763,40.767742,1.0,8,2,7,summer,6
49.8,-73.78974699999999,40.648142,1.0,7,0,4,spring,0
10.0,-73.97529,40.762167,2.0,19,6,12,winter,6
8.1,-73.978615,40.753807,1.0,17,3,12,winter,6
6.5,-73.974151,40.747188,2.0,11,6,3,spring,6
6.9,-73.961988,40.773478,1.0,15,1,6,summer,6
43.0,-73.87081909179686,40.773681640625,1.0,16,0,5,spring,3
15.7,-73.996386,40.748545,2.0,1,6,8,summer,6
13.5,-73.99002838134766,40.7345085144043,1.0,22,3,2,winter,6
7.0,-73.96212,40.776277,5.0,14,5,10,autumn,6
4.9,-73.977352,40.760313,1.0,6,5,10,autumn,6
13.0,-73.949565,40.77688,5.0,4,4,7,summer,6
12.1,-73.94614200000001,40.781162,2.0,15,3,1,winter,6
13.7,-73.99023299999999,40.741791,1.0,18,1,1,winter,6
7.7,-73.967425,40.760568,2.0,9,3,11,autumn,6
22.0,-73.97845,40.736707,6.0,23,4,2,winter,6
7.3,-73.97304799999999,40.76212,2.0,10,1,5,spring,6
4.1,-73.980082,40.765167,5.0,17,5,9,autumn,6
5.3,-73.961784,40.755718,2.0,9,3,2,winter,6
6.5,-74.004273,40.747427,1.0,17,3,7,summer,6
19.0,-73.973711,40.759206,1.0,1,4,5,spring,6
10.0,-73.951825,40.781593,1.0,6,5,9,autumn,6
8.0,-74.00302124023438,40.74802017211913,1.0,8,2,5,spring,6
57.33,-73.776736,40.645518,1.0,14,4,6,summer,0
6.1,-73.98113000000001,40.747072,1.0,6,0,6,summer,6
6.9,-73.974797,40.750455,2.0,18,2,7,summer,6
10.9,-73.979348,40.750788,1.0,20,1,7,summer,6
6.1,-74.01466500000001,40.714253,2.0,11,1,1,winter,6
13.0,-73.97879028320312,40.76677703857422,5.0,9,1,6,summer,6
13.7,-73.984891,40.769314,1.0,12,3,8,summer,6
8.5,-74.00575500000001,40.740463,5.0,3,6,1,winter,6
7.5,-73.99512481689453,40.760101318359375,1.0,9,3,2,winter,6
4.9,-73.97665699999999,40.75182,1.0,6,1,11,autumn,6
9.7,-74.008374,40.720834,1.0,5,1,5,spring,6
12.5,-73.98683100000001,40.747747,2.0,1,3,10,autumn,6
5.0,-73.97712,40.745432,6.0,15,0,5,spring,6
7.3,-73.974914,40.751661,1.0,10,3,6,summer,6
37.5,-73.979551,40.757373,1.0,2,2,8,summer,6
7.7,-73.979333,40.742212,1.0,10,1,9,autumn,6
8.5,-73.996418,40.732352,2.0,1,6,12,winter,6
5.7,-73.955878,40.76737,1.0,10,1,4,spring,6
16.0,-73.981145,40.774175,1.0,21,5,11,autumn,6
37.47,-73.862687,40.768982,1.0,9,4,3,spring,4
11.7,-73.94748299999999,40.77117,1.0,19,2,5,spring,6
10.1,-73.982596,40.751014,1.0,15,4,3,spring,6
7.3,-74.003558,40.726427,5.0,7,2,1,winter,6
49.57,-73.787044,40.641077,1.0,17,6,7,summer,0
4.0,-73.98316,40.735692,1.0,23,2,1,winter,6
19.0,-73.982608,40.772337,1.0,12,5,3,spring,6
8.5,-73.985613,40.762795,1.0,20,6,7,summer,6
6.5,-74.00814100000001,40.738943,1.0,7,3,1,winter,6
7.0,-73.99510500000001,40.732125,1.0,21,3,1,winter,6
7.3,-73.999717,40.73835,2.0,23,4,8,summer,6
17.3,-73.987622,40.758267,1.0,2,6,5,spring,6
10.1,-73.98665,40.739855,1.0,11,4,12,winter,6
19.5,-73.989002,40.73057,1.0,21,2,3,spring,6
5.3,-73.994312,40.740935,2.0,10,2,9,autumn,6
8.1,-74.002382,40.734405,1.0,1,5,9,autumn,6
9.3,-73.974378,40.744052,1.0,12,0,8,summer,6
5.0,-73.98504399999999,40.732313,1.0,21,4,7,summer,6
6.5,-74.001264,40.761711,3.0,17,1,12,winter,6
5.3,-73.991934,40.750118,1.0,20,5,10,autumn,6
5.5,-73.98577399999999,40.762882,1.0,9,5,6,summer,6
21.5,-73.9872,40.729232,1.0,0,5,5,spring,6
5.5,-73.971052,40.757462,2.0,11,6,12,winter,6
6.1,-73.96021400000001,40.77315,1.0,17,2,7,summer,6
10.0,-74.012982,40.706427000000005,1.0,10,6,1,winter,6
10.1,-73.999853,40.738384,1.0,13,0,5,spring,6
6.9,-74.004222,40.722267,5.0,23,5,8,summer,6
7.5,-74.005955,40.717,1.0,8,3,3,spring,6
8.5,-74.002652,40.733857,1.0,19,3,2,winter,6
6.5,-73.97975,40.76513,1.0,19,0,5,spring,6
9.3,-73.980685,40.744708,1.0,6,1,2,winter,6
13.5,-73.99584,40.732914,1.0,22,3,1,winter,6
5.0,-74.004237,40.751967,1.0,1,2,3,spring,6
4.9,-74.002718,40.760635,2.0,10,0,1,winter,6
4.9,-73.967191,40.802096,1.0,12,3,6,summer,6
5.7,-73.976844,40.758666,1.0,15,2,5,spring,6
3.7,-74.011739,40.704663,1.0,10,3,2,winter,6
4.9,-74.002975,40.749237,1.0,13,4,5,spring,6
9.5,-73.975461,40.741243,1.0,8,4,9,autumn,6
12.5,-74.010452,40.720927,1.0,20,1,8,summer,6
7.0,-74.00675799999999,40.72962,1.0,21,4,3,spring,6
8.5,-73.98505899999999,40.727423,2.0,12,5,3,spring,6
10.1,-73.965292,40.766492,2.0,11,1,1,winter,6
5.3,-73.994349,40.722509,1.0,18,5,8,summer,6
8.5,-73.954566,40.719553000000005,1.0,7,0,6,summer,5
10.5,-73.9826889038086,40.73786544799805,1.0,13,2,4,spring,6
7.7,-73.982618,40.766742,2.0,14,4,6,summer,6
33.7,-73.96571899999999,40.791979,1.0,17,3,3,spring,6
4.5,-73.99679,40.747578,5.0,13,6,5,spring,6
15.7,-73.997272,40.750477,1.0,13,2,11,autumn,6
5.7,-73.964303,40.756422,1.0,15,1,12,winter,6
6.9,-73.951812,40.769173,1.0,7,4,3,spring,6
10.0,-74.00044799999999,40.747704,1.0,6,4,1,winter,6
16.0,-73.95362854003906,40.76710891723633,1.0,22,1,4,spring,6
23.7,-73.962734,40.804368,3.0,12,2,2,winter,6
8.0,-73.91853,40.74333,1.0,5,2,12,winter,1
10.5,-74.00573399999999,40.743641,2.0,2,0,1,winter,6
5.5,-74.00164794921875,40.74094009399415,1.0,10,0,3,spring,6
10.0,-73.96003723144531,40.78062438964844,1.0,16,0,3,spring,6
4.9,-73.98187800000001,40.778722,3.0,14,6,8,summer,6
18.1,-73.998515,40.747095,5.0,23,4,8,summer,6
21.5,-73.975285,40.735602,1.0,3,5,8,summer,6
5.7,-74.002502,40.726697,1.0,22,0,2,winter,6
16.5,-73.87495799999999,40.774058,1.0,15,1,2,winter,3
6.9,-73.983467,40.726277,1.0,11,2,6,summer,6
11.0,-73.989439,40.776503000000005,1.0,7,1,9,autumn,6
4.9,-73.97704300000001,40.795833,3.0,11,0,1,winter,6
7.7,-73.99238000000001,40.734704,1.0,20,3,8,summer,6
6.1,-73.955713,40.763913,1.0,8,5,9,autumn,6
10.1,-73.986885,40.76093,5.0,3,6,7,summer,6
7.7,-73.992168,40.721211,1.0,17,5,5,spring,6
20.0,-73.988212,40.7646,2.0,4,2,7,summer,6
16.5,-73.978385,40.762942,6.0,21,1,8,summer,6
5.5,-74.008418,40.734875,2.0,19,4,8,summer,6
12.1,-74.001532,40.732103,1.0,0,2,6,summer,6
7.7,-73.999193,40.734143,1.0,12,3,8,summer,6
13.3,-73.982218,40.771385,1.0,1,5,1,winter,6
6.0,-73.968735,40.678386,1.0,21,5,11,autumn,2
17.7,-73.978966,40.744725,1.0,17,0,4,spring,6
6.9,-73.9833,40.7414,2.0,17,5,11,autumn,6
8.5,-73.97256999999999,40.759172,2.0,15,1,5,spring,6
11.7,-73.982105,40.778682,1.0,19,1,8,summer,6
16.5,-74.00590799999999,40.708587,1.0,7,4,5,spring,6
5.5,-73.983598,40.738008,1.0,9,1,3,spring,6
6.5,-73.966277,40.764859,1.0,4,4,6,summer,6
4.1,-73.98444,40.761075,1.0,21,4,11,autumn,6
5.5,-73.97834499999999,40.76402,3.0,21,0,7,summer,6
8.5,-73.969177,40.757551,1.0,19,4,11,autumn,6
5.0,-73.98070526123048,40.76496505737305,1.0,7,4,1,winter,6
11.7,-73.96856,40.767347,2.0,21,5,7,summer,6
12.9,-73.991405,40.69607,1.0,0,6,3,spring,2
16.0,-73.97574300000001,40.756817,1.0,12,5,12,winter,6
6.9,-73.984135,40.737225,1.0,6,0,3,spring,6
10.5,-73.971254,40.782857,1.0,15,1,4,spring,6
10.0,-73.983478,40.767955,1.0,21,4,4,spring,6
36.0,-73.962142,40.680555,1.0,18,2,9,autumn,2
12.0,-73.999086,40.73973,1.0,19,4,9,autumn,6
8.1,-73.970455,40.799142,1.0,9,3,5,spring,6
5.7,-73.991017,40.734997,1.0,16,6,7,summer,6
12.9,-73.973569,40.792419,1.0,4,0,7,summer,6
6.0,-73.99276733398438,40.72429656982422,2.0,14,4,2,winter,6
5.3,-73.98986500000001,40.757115,1.0,10,0,4,spring,6
11.3,-73.989246,40.739684,1.0,12,5,5,spring,6
4.9,-73.987643,40.776225,1.0,8,1,3,spring,6
22.0,-73.96187591552734,40.79561614990234,1.0,9,1,2,winter,6
9.3,-73.95957800000001,40.782707,5.0,14,6,5,spring,6
14.9,-74.00525999999999,40.74108,5.0,23,1,12,winter,6
9.7,-73.978877,40.720184,1.0,9,3,5,spring,6
4.1,-74.00888,40.713255,1.0,11,2,3,spring,6
8.9,-73.98760899999999,40.74143,1.0,10,3,2,winter,6
9.0,-74.012288,40.701394,1.0,9,5,2,winter,6
10.9,-73.98725999999999,40.744713,2.0,13,4,12,winter,6
13.7,-73.996887,40.720198,1.0,23,2,4,spring,6
7.5,-74.008477,40.720557,1.0,16,2,5,spring,6
6.1,-73.96884200951101,40.76576939412,1.0,20,1,3,spring,6
6.5,-73.99255699999999,40.714019,1.0,17,0,3,spring,6
14.5,-73.957828,40.772228000000005,1.0,23,4,7,summer,6
57.33,-73.99122,40.754664,1.0,9,0,9,autumn,6
7.7,-73.997339,40.741876,3.0,0,3,11,autumn,6
7.3,-73.980047,40.785857,1.0,6,2,1,winter,6
8.5,-73.996418,40.71926,1.0,15,0,7,summer,6
